resolution,width=256,height=192
0&0,0.2602539
1&0,0.23791504
2&0,0.24682617
3&0,0.24597168
4&0,0.24353027
5&0,0.23986816
6&0,0.23925781
7&0,0.23937988
8&0,0.24108887
9&0,0.24182129
10&0,0.24145508
11&0,0.24145508
12&0,0.24206543
13&0,0.24023438
14&0,0.23828125
15&0,0.23693848
16&0,0.23547363
17&0,0.234375
18&0,0.23425293
19&0,0.234375
20&0,0.234375
21&0,0.23364258
22&0,0.23291016
23&0,0.23181152
24&0,0.23046875
25&0,0.22937012
26&0,0.22741699
27&0,0.23364258
28&0,0.22827148
29&0,0.22875977
30&0,0.22888184
31&0,0.22912598
32&0,0.22570801
33&0,0.22338867
34&0,0.22155762
35&0,0.22045898
36&0,0.22033691
37&0,0.21948242
38&0,0.21826172
39&0,0.21813965
40&0,0.21594238
41&0,0.21496582
42&0,0.2142334
43&0,0.21362305
44&0,0.21252441
45&0,0.21166992
46&0,0.21118164
47&0,0.21081543
48&0,0.21081543
49&0,0.21008301
50&0,0.20812988
51&0,0.20727539
52&0,0.20629883
53&0,0.20458984
54&0,0.20336914
55&0,0.20263672
56&0,0.20324707
57&0,0.203125
58&0,0.2010498
59&0,0.20129395
60&0,0.20166016
61&0,0.20202637
62&0,0.2010498
63&0,0.1998291
64&0,0.19836426
65&0,0.19787598
66&0,0.1973877
67&0,0.19787598
68&0,0.19726562
69&0,0.19702148
70&0,0.19665527
71&0,0.19616699
72&0,0.19616699
73&0,0.19641113
74&0,0.1965332
75&0,0.19567871
76&0,0.19470215
77&0,0.19458008
78&0,0.19470215
79&0,0.19555664
80&0,0.19641113
81&0,0.19628906
82&0,0.19519043
83&0,0.19580078
84&0,0.19604492
85&0,0.19665527
86&0,0.19689941
87&0,0.19702148
88&0,0.19848633
89&0,0.1998291
90&0,0.20092773
91&0,0.20141602
92&0,0.20214844
93&0,0.2019043
94&0,0.20202637
95&0,0.20275879
96&0,0.20422363
97&0,0.2052002
98&0,0.20605469
99&0,0.20629883
100&0,0.20666504
101&0,0.20788574
102&0,0.20935059
103&0,0.20837402
104&0,0.20666504
105&0,0.20629883
106&0,0.20568848
107&0,0.20666504
108&0,0.20788574
109&0,0.2088623
110&0,0.20947266
111&0,0.20996094
112&0,0.21081543
113&0,0.2109375
114&0,0.21118164
115&0,0.21179199
116&0,0.21325684
117&0,0.21520996
118&0,0.2154541
119&0,0.21484375
120&0,0.21594238
121&0,0.21496582
122&0,0.21472168
123&0,0.21533203
124&0,0.2163086
125&0,0.2163086
126&0,0.21655273
127&0,0.21704102
128&0,0.21777344
129&0,0.21838379
130&0,0.21728516
131&0,0.21875
132&0,0.21801758
133&0,0.2166748
134&0,0.21594238
135&0,0.2166748
136&0,0.2163086
137&0,0.21704102
138&0,0.21740723
139&0,0.21618652
140&0,0.21679688
141&0,0.21582031
142&0,0.21496582
143&0,0.21484375
144&0,0.21459961
145&0,0.21435547
146&0,0.21350098
147&0,0.21386719
148&0,0.21276855
149&0,0.21447754
150&0,0.21520996
151&0,0.21411133
152&0,0.21411133
153&0,0.21435547
154&0,0.21386719
155&0,0.2133789
156&0,0.21252441
157&0,0.21179199
158&0,0.21166992
159&0,0.21130371
160&0,0.21118164
161&0,0.21142578
162&0,0.21203613
163&0,0.21264648
164&0,0.21179199
165&0,0.2109375
166&0,0.21032715
167&0,0.20935059
168&0,0.2084961
169&0,0.20825195
170&0,0.20874023
171&0,0.20935059
172&0,0.20776367
173&0,0.20678711
174&0,0.20629883
175&0,0.20581055
176&0,0.20568848
177&0,0.2052002
178&0,0.20458984
179&0,0.20446777
180&0,0.2043457
181&0,0.20410156
182&0,0.20373535
183&0,0.20361328
184&0,0.20361328
185&0,0.20385742
186&0,0.20336914
187&0,0.20288086
188&0,0.20263672
189&0,0.20251465
190&0,0.20251465
191&0,0.20251465
192&0,0.20239258
193&0,0.20202637
194&0,0.20202637
195&0,0.20153809
196&0,0.20092773
197&0,0.2006836
198&0,0.20056152
199&0,0.1998291
200&0,0.19921875
201&0,0.19909668
202&0,0.19873047
203&0,0.19848633
204&0,0.19812012
205&0,0.19787598
206&0,0.1977539
207&0,0.1973877
208&0,0.19714355
209&0,0.19714355
210&0,0.19616699
211&0,0.19641113
212&0,0.19592285
213&0,0.19641113
214&0,0.19592285
215&0,0.19555664
216&0,0.19567871
217&0,0.19580078
218&0,0.1953125
219&0,0.19506836
220&0,0.19470215
221&0,0.1940918
222&0,0.19384766
223&0,0.1928711
224&0,0.19262695
225&0,0.19226074
226&0,0.19250488
227&0,0.19213867
228&0,0.19213867
229&0,0.19165039
230&0,0.1907959
231&0,0.19030762
232&0,0.18981934
233&0,0.18920898
234&0,0.18847656
235&0,0.18774414
236&0,0.18725586
237&0,0.18737793
238&0,0.18688965
239&0,0.18725586
240&0,0.18725586
241&0,0.18725586
242&0,0.18774414
243&0,0.18847656
244&0,0.18835449
245&0,0.18884277
246&0,0.18920898
247&0,0.19006348
248&0,0.19091797
249&0,0.19152832
250&0,0.19165039
251&0,0.19128418
252&0,0.19165039
253&0,0.18579102
254&0,0.18249512
255&0,0.20458984
0&1,0.24536133
1&1,0.24768066
2&1,0.24243164
3&1,0.24450684
4&1,0.24304199
5&1,0.24072266
6&1,0.2397461
7&1,0.24035645
8&1,0.24157715
9&1,0.24182129
10&1,0.24182129
11&1,0.24291992
12&1,0.24243164
13&1,0.23999023
14&1,0.23925781
15&1,0.23815918
16&1,0.23803711
17&1,0.23693848
18&1,0.23608398
19&1,0.23510742
20&1,0.23425293
21&1,0.23388672
22&1,0.23339844
23&1,0.2322998
24&1,0.23144531
25&1,0.2298584
26&1,0.2277832
27&1,0.2265625
28&1,0.22705078
29&1,0.22631836
30&1,0.22619629
31&1,0.22485352
32&1,0.22387695
33&1,0.22314453
34&1,0.22180176
35&1,0.22131348
36&1,0.21984863
37&1,0.21801758
38&1,0.2175293
39&1,0.21606445
40&1,0.21533203
41&1,0.21496582
42&1,0.21325684
43&1,0.21203613
44&1,0.21154785
45&1,0.21142578
46&1,0.20996094
47&1,0.20910645
48&1,0.2084961
49&1,0.20703125
50&1,0.20678711
51&1,0.20581055
52&1,0.20385742
53&1,0.203125
54&1,0.2019043
55&1,0.20178223
56&1,0.20166016
57&1,0.20117188
58&1,0.2010498
59&1,0.20019531
60&1,0.20043945
61&1,0.19995117
